19.1.1	doṣo gāya bṛhad gāya dyumad gāyātharvaṇa | stuhi devaṃ savitāram ||
19.2.10	punar agham aghakṛtam etu devāḥ punar ena enaskṛtaṃ vijānat | punaḥ putraḥ pitaram etu vidvān hatām uta yad asya svam asti ||
19.2.11	yena cāsau śapati yena cainaṃ śapāmasi | ubhau saṃvṛhya tau tasmād antikād dhetim asyatām ||
19.2.12	ye pārthivāsaḥ śapathā ya urāv antarikṣe | ye vātasya prabharmaṇi tebhiṣ ṭaṃ vartayāmasi yo 'smān dveṣṭi yaṃ vayaṃ dviṣmaḥ ||
19.2.13	ye asmān parisīsṛpuḥ kulīpayāni bibhrataḥ | ud devas teṣāṃ vṛścata mūlam urvārvo yathā ||
19.2.14	yad devā aghadhā agham anyasminn ā sisaṃkṣati | bhāro aghasya duḥsahaḥ pratyak kartāram ṛcchatu ||
19.2.15	punar evāghadhām aghaṃ dyumnam ?ivaitur arṣatu | ādityāduryāmahiṣā? mahī sindhor ivāvaniḥ ||
19.3.1	śaśvad didyut kriyamāṇā pratīcī ni hi paptat | pratyak kartāram ṛcchatu ||
19.3.2	śaśvantam ic chāśadānam anyasmā iṣuṃ dihānam | pratīcī śarur ṛcchatu ||
19.3.3	yad etad bhūri śāśadat pratīcīnam apohase | viṣād iva viṣam addhi tat ||
19.3.4	namas te pravato napād yatas tapaḥ samūhase | mṛḍā nas tanūbhyaś śaṃ nas tokebhyas kṛdhi ||
19.3.5	pravato napān namo astu tubhyaṃ namas te hetaye tapuṣyai | vidma te dhāma paramaṃ guhā yat samudre antar nihitāsi nābhiḥ ||
19.3.6	yāṃ tvā devā ajanayanta viśva iṣuṃ kṛṇvānā asanāya tṛṣvīm | sā no mṛḍa vidathe gṛṇānā mitrasya ca varuṇasya praśiṣṭau ||
19.3.7	yūyaṃ naḥ pravato napān marutaḥ sūryatvacaḥ | śarma yacchātha saprathaḥ ||
19.3.8	mamṛḍatā suṣūdatā mṛḍā no aghnyābhyaḥ | tokāya tanve ca ||
19.3.9	namas te astu vidyute namas te stanayitnave | namas te astv aśmane yenā dūḍāśe asyasi ||
19.3.10	yo asmān brahmaṇaspate 'devo abhidāsati | sarvaṃ taṃ rīradhāsi naḥ ||
19.3.11	yebhiḥ soma sāhantya- -asurān randhayāsai | tebhir no 'vitā bhuvaḥ ||
19.3.12	yāni devā asurāṇām ojāṃsy avṛṇīdhvam | tebhir no adhi vocata ||
19.3.13	ud enam uttaraṃ naya- -agne ghṛtebhir āhutaḥ | sam enaṃ varcasā sṛja devānāṃ bhāgadhā asat ||
19.3.14	indremaṃ prataraṃ kṛdhi sajātānām asad vaśī | rāyaspoṣeṇa saṃ sṛja prajayā ca bahuṃ kṛdhi ||
19.3.15	yasya kṛṇmo gṛhe havis tam agne vardhayā tvam | tasmai somo adhi bruvad ayaṃ ca brahmaṇaspatiḥ ||
19.4.1	ṛtāvānaṃ vaiśvānaram ṛtasya jyotiṣas patim | ajasraṃ gharmam īmahe ||
19.4.2	sa idaṃ prati paprathad yajñasya svar uttiran | ṛtūn ut sṛjate vaśī ||
19.4.3	agniḥ priyeṣu dhāmasu kāmo bhūtasya bhavyasya | samrāḍ eko vi rājati ||
19.4.4	pari dyām iva sūryo ahīnāṃ janim āgamam | rātrī jagad ivānyad dhaṃsād avārīr imaṃ viṣam ||
19.4.5	yad brahmabhir yad ṛṣibhir yad devair uditaṃ purā | yad bhūtaṃ bhavyam āsanvat tena te vāraye viṣam ||
19.4.6	madhunāpṛkṣi nadyaḥ parvatā girayo madhu | madhu paruṣṇī śīpālā śam āsne astu śaṃ hṛde ||
19.4.7	yatheyam urvī pṛthivī dādhāra viṣṭhitaṃ jagat | evā te dhriyatāṃ garbho anu sūtuṃ savitave ||
19.4.8	(…) dādhāremān vanaspatīn | (…) ||
19.4.9	yatheyam urvī pṛthivī dādhāra parvatān apaḥ | evā te dhriyatāṃ garbho anu sūtuṃ suvitave ||
19.4.10	sasruṣīs tad apaso divā naktaṃ ca sasruṣīḥ | vareṇyakratur aham apo devīr upa bruve ||
19.4.11	oktā āpaḥ karmaṇyā muñcantv itaḥ praṇītaye | sadyo bhavantv etave ||
19.4.12	devasya savituḥ save karma kṛṇvanti mānuṣāḥ | śaṃ no bhavantv apa oṣadhīr imāḥ ||
19.4.13	śatasya te dhamanīnāṃ sahasrasya hirāṇām | asthur in madhyamā yāḥ sākam antā araṃsata ||
19.4.14	pari vaḥ sikatāmayīr dhanūs tiraś cid asthiran | tiṣṭhatelayatā su kam ||
19.4.15	amūr yā yanti jāmayaḥ sarvā lohitavāsasaḥ | abhrātara iva yoṣās tiṣṭhanti hatavarcasaḥ ||
19.4.16	tiṣṭhāvare tiṣṭha para uta tvaṃ tiṣṭha madhyame | kaṇiṣṭhikā ca tiṣṭhāti tiṣṭhād id dhamanir mahī ||
19.5.1	namo devavadhebhyo namo rājavadhebhyaḥ | atho ye viśyānāṃ vadhās tebhyo mṛtyo namāṃsi te ||
19.5.2	namas te adhivākāya parāvākāya te namaḥ | sumatyai mṛtyo te namo durmatyai ta idaṃ namaḥ ||
19.5.3	namas te yātudhānebhyo namas te bheṣajebhyaḥ | mūlebhyo mṛtyo te namo brāhmaṇebhya idaṃ namaḥ ||
19.5.4	nava ca yā navatiś ca saṃyanti manyā abhi | itas tāḥ sarvā naśyantu vākā apacitām iva ||
19.5.5	sapta ca yāḥ saptatiś ca saṃyanti skandhyā abhi | (itas tāḥ sarvā naśyantu vākā apacitām iva) ||
19.5.6	pañca ca yāḥ pañcāśac ca saṃyanti graivyā abhi | itas tāḥ sarvā naśyantu vākā apacitām iva ||
19.5.7	āvayo anāvayo rasas ta ugra āvayo | ā te karambham adīmahi sa hi na tvam asi yas tvam ātmānam āvayaḥ ||
19.5.8	babhruś ca babhrukarṇaś ca nīlākalaśālā | śavaḥpaśya ||
19.5.9	tauvilike 'velayā- -avāyam ailava ailayīt | iha svām āhutiṃ juṣāṇo manasā svāhā ||
19.5.10	svāhā manasā yad idaṃ kṛṇomi yasyās ta āsañ juhomi ghore | eṣāṃ baddhānām avasarjanāya kam ||
19.5.11	bhūmir iti tvābhipramanvate janā nirṛtir iti tvāhaṃ pari veda viśvataḥ | bhūte haviṣmaty asy eṣa te bhagas tena te vidheyaṃ svāhā ||
19.5.12	evo ṣv asmat tvaṃ nirṛte viśvavāre ayasmayān pra mumugdhi pāśān | yamena tvaṃ yamyā saṃvidānā yo asmān dveṣṭi yaṃ vayaṃ dviṣmas tasmin tān pāśān prati muñca sarvān ||
19.5.13	uttamo asy oṣadhīnāṃ tava vṛkṣā upastayaḥ | upastir asmākaṃ bhūyād yo 'smām̐ abhidāsati ||
19.5.14	sabandhuś cāsabandhuś ca yo 'smām̐ abhidāsati | sabandhūn sarvāṃs tīrtvā- -ahaṃ bhūyāsam uttamaḥ ||
19.5.15	yathā soma oṣadhīnām uttamaṃ havir ucyate | evā tvam iva vṛkṣāṇām ahaṃ bhūyāsam uttamaḥ ||
19.6.2	indrasya vacasā vayaṃ mitrasya varuṇasya ca | devānāṃ sarveṣāṃ vācā yakṣmaṃ te vārayāmahe ||
19.6.3	yathā vṛtra imā āpas tastambha viśvadhā yatīḥ | evā te agninā yakṣmaṃ vaiśvānareṇa vāraye ||
19.6.4	dhruvaṃ dhruveṇa haviṣā- -abhi somaṃ mṛśāmasi | atrā ta indraḥ kevalīr viśo balihṛtas karat ||
19.6.5	ā tvāhārṣam antar abhūr dhruvas tiṣṭhāvicācalat | viśas tvā sarvā ā yantu mā tvad rāṣṭram adhi bhraśat ||
19.6.6	ihaivaidhi māpa cyoṣṭhāḥ parvata ivāvicācalat | indreha dhruvas tiṣṭha- -iha rāṣṭraṃ ni dhāraya ||
19.6.7	indra etam adīdharad dhruvaṃ dhruveṇa haviṣā | tasmai somo adhi bruvad ayaṃ ca brahmaṇaspatiḥ ||
19.6.8	dhruvaṃ te devaḥ savitā dhruvaṃ devo bṛhaspatiḥ | dhruvaṃ ta indraś cāgniś ca rāṣṭraṃ dhārayatāṃ dhruvam ||
19.6.9	dhruvā dyaur dhruvā pṛthivī samudrāḥ parvatā dhruvāḥ | dhruvā ha dharmaṇā dhruvā dhruvo rājā viśām ayam ||
19.6.10	vṛṣendrasya vṛṣā divo vṛṣā pṛthivyā ayam | vṛṣā viśvasya bhūtasya tvam ekavṛṣo bhava ||
19.6.11	samudra īśe sravatām agniḥ pṛthivyā vaśī | sūryo nakṣatrāṇām īśe tvam (…) ||
19.6.12	samrāḍ asy asurāṇāṃ kakun manuṣyāṇām | devānām ardhabhāg asi tvam ekavṛṣo bhava ||
19.6.13	pari vartmāny eṣām indraḥ pūṣā ca sasratuḥ | muhyantv adyāmūḥ senā amitrāṇāṃ parastarām ||
19.6.14	mugdhā amitrāś caranta- -aśīrṣāṇa ivāhayaḥ | athaiṣām agniruddhānām indro hantu varaṃ-varam ||
19.6.15	aiṣu nahya vṛṣājinaṃ hariṇasya bhiyaṃ kṛdhi | parāṅ amitra eṣatv arvācī gaur upeṣatu ||
19.7.1	saṃsam id yuvase vṛṣann agne viśvāny arya ā | iḍas pade sam idhyase sa no vasūny ā bhara ||
19.7.2	saṃ jānīdhvaṃ saṃ pṛcyadhvaṃ saṃ vo manāṃsi jānatām | devā bhāgaṃ yathā pūrve saṃjānānā upāsate ||
19.7.3	samāno mantraḥ samitiḥ samānī samānaṃ cittaṃ saha vo manāṃsi | samānena vo haviṣā juhomi yathā saṃmanaso 'satha ||
19.7.4	ut sūryo diva eti puro viśvāni yo 'ruhat | ādityaḥ parvatāṅ ati viśvadṛṣṭo adṛṣṭahā ||
19.7.5	āyurvidaṃ vipaścitaṃ śrutāṃ kaṇvasya vīrudham | āhārṣaṃ viśvabheṣajīm asyādṛṣṭān ni śamaya ||
19.7.6	ni gāvo goṣṭhe asadan ni mṛgāso avikṣata | ni ketavo janānāṃ ny adṛṣṭā alipsata ||
19.7.7	himavataḥ pra sravatha tāḥ sindhum upa gacchatha | āpo gha mahyaṃ tad devīr dadan hṛddyotabheṣajam ||
19.7.8	yad akṣībhyām ādidyota pārṣṇibhyāṃ hṛdayena ca | āpas tat sarvaṃ niṣ karan tvaṣṭā riṣṭam ivānasaḥ ||
19.7.9	sindhurājñīḥ sindhupatnīḥ sarvā yā nadya sthana | dattā nas tasya bheṣajaṃ tena vo bhunajāmahai ||
19.7.10	punantu mā devajanāḥ punantu manavo dhiyā | punantu viśvā bhūtāni pavamānaḥ punātu mā ||
19.7.11	punātu mā pavamānaḥ kratve dakṣāya jīvase | jyok ca sūryāya dṛśe ||
19.7.12	ubhābhyāṃ deva savitaḥ pavitreṇa savena ca | asmān punīhi cakṣase ||
19.7.13	īrṣyāyā dhrājiṃ prathamām adhamām uttamām uta | manyuṃ hṛdayyaṃ śokaṃ taṃ te nir mantrayāmahe ||
19.7.14	etad yat te hṛdi śritaṃ manaskaṃ patayiṣṇukam | tatas ta īrṣyāṃ muñcāmi nir ūṣmāṇaṃ dṛter iva ||
19.7.15	yathā bhūmir mṛtamanā mṛtān mṛtamanastarā | yathota mamruṣo mana everṣyor mṛtaṃ manaḥ ||
19.8.1	dyauś ca mā pṛthivī ca pracetasau śukro bṛhan dakṣiṇā mā pipartu | anu svadhā cikitāṃ somo agnir vāyur mā yātu savitā bhagaś ca ||
19.8.2	punar manaḥ punar āyur na āgan punaś cakṣuḥ punar ākūtir āgan | vaiśvānaro no adabdhas tanūpā antas tiṣṭhāti duritād avadyāt ||
19.8.3	saṃ varcasā payasā saṃ tanūbhir aganmahi manasā saṃ śivena | tvaṣṭā sudatro varivaḥ kṛṇotv anūnas tāṣṭu tanvo viriṣṭam ||
19.8.4	idaṃ tad yuja uttaraṃ yenendraṃ śumbhāmy aṣṭaye | asya kṣatraṃ śriyaṃ mahīṃ vṛṣṭir iva vardhayā tṛṇam ||
19.8.5	asya kṣatram agnīṣomāv asya vardhayataṃ rayim | atho rāṣṭrasyābhīvarge kṛṇutaṃ yuja uttaram ||
19.8.6	sabandhuś cāsabandhuś ca yo jāto yaś ca niṣṭiyaḥ | yajamānāya sunvate sarvaṃ taṃ rīradhāsi naḥ ||
19.8.7	yaśo bṛhad vardhatām indrajūtaṃ sahasrabhṛṣṭi sukṛtaṃ sahasvat | prasarsrāṇam anu dīrghāya jīvase haviṣmantaṃ vardhaya sarvatātaye ||
19.8.8	yaśā indro yaśā agnir yaśāḥ somo ajāyata | yaśā viśvasya bhūtasya- -aham asmi yaśastamaḥ ||
19.8.9	vayaṃ te agne yaśaso yaśobhir yaśasvino haviṣainā vidhema | sa no dhehi rāṣṭram indrajūtaṃ tava trātre adhivāke syāma ||
19.8.10	ava jyām iva dhanvano manyuṃ tanomi te hṛdaḥ | adhā saṃmanasau bhūtvā sakhikeva sacāvahai ||
19.8.11	vi te manyuṃ nayāmasi sakhikeva sacāvahai | adhas te aśmanā manyuṃ guruṇābhi ni dadhmasi ||
19.8.12	abhi tiṣṭhāmi te manyuṃ pārṣṇibhyāṃ prapadābhyām | parā te daṇḍyaṃ vadhaṃ parā manyuṃ suvāmi te ||
19.8.13	hiraṇyayaḥ panthā āsīd aritrāṇi hiraṇyayā | nāvo hiraṇyayīr āsan yābhiḥ kuṣṭhaṃ nirāvaham ||
19.8.14	suparṇasuvane girau jātaṃ himavatas pari | dhanair abhi śrutaṃ yanti kuṣṭhehi takmanāśanaḥ ||
19.8.15	yo giriṣu jāyase vīrudhāṃ balavattamaḥ | kuṣṭhehi takmanāśana takmānaṃ nāśayann itaḥ ||
19.9.1	idāvatsarāya parivatsarāya saṃvatsarāya kṛṇutā bṛhan namaḥ | teṣāṃ vayaṃ sumatau yajñiyānām api bhadre saumanase syāma ||
19.9.2	ye vaḥ panthā bahavo devayānā anu dyāvāpṛthivī saṃcarantī | teṣām ajyāniṃ yatamo na āvahāt tasmai no devāḥ pari dhatta sarve ||
19.9.3	śarad dhemantaḥ śiśiro vasanto grīṣmo varṣāḥ suvite no dadhāta | ā no goṣu bhajatauṣadhīṣu nivāta id vaḥ śaraṇe syāma ||
19.9.4	vaiśvānaro na ūtaya ā pra yātu parāvataḥ | agnir ukthair no aṃhasaḥ ||
19.9.5	vaiśvānaro na ā gamad imaṃ yajñaṃ sajūr upa- | -imāṃ suṣṭutiṃ mama ||
19.9.6	vaiśvānaro no aṅgirobhi stomaṃ yajñaṃ ca cākl̥pat | aiṣu dyumnaṃ svar yamat ||
19.9.7	ajaiṣaṃ tvā saṃlikhitam ajaiṣam uta saṃrudham | aviṃ vṛko yathā mathad evā mathnāmi te kṛtam ||
19.9.8	yathā vṛkṣam aśanir viśvahā hanty aprati | evāham amuṃ kitavam akṣair vadhyāsam aprati ||
19.9.9	turāṇām aturāṇāṃ viśāṃ devayatīnām | sam aitu viśvato bhago antarhastaṃ kṛtaṃ mama ||
19.9.10	yāvad dyaur yāvat pṛthivī yāvad ābhāti sūryaḥ | tāvat sṛjāmi te viṣaṃ yāvad arṣanti sindhavaḥ ||
19.9.11	ucchvasanta ud īrate gāva āvasathād iva | ahīnāṃ paśyatā viṣam apavaktā na vidyate ||
19.9.12	ā jaghāna pṛṣaddhanuḥ saṅgathe dhamanīnām | mūrdhānaṃ viṣam āskadya- -aṅgāni vy asisrasat ||
19.9.13	mā no devā ahir vadhīt santokān sahapūruṣān | saṃyataṃ na vi ṣparad vyāttaṃ na saṃ yamat ||
19.9.14	saṃ te dadhāmi dadbhir dataḥ saṃ te hanvā hanū | saṃ te jihvayā jihvāṃ saṃ ta āsnāha āsyam ||
19.9.15	namo 'haye asitāya namas tiraścirājaye | svajāya babhrave namo namo devajanebhyaḥ ||
19.10.1	manase cetase dhiya ākūtaya uta cittaye | matyai śrutāya cakṣase vidhema haviṣā vayam ||
19.10.2	prāṇāyāpānāya vyānāya bhūriretase | sarasvatyā uruvyace vidhema haviṣā vayam ||
19.10.3	mā no hāsiṣur ṛṣayo daivyāsas tanūpāvānaḥ śucayas tapojāḥ | amartyā martyām̐ abhi naḥ sacadhvam āyur naḥ prataraṃ jīvase dhuḥ ||
19.10.4	idam id vā u bheṣajam idaṃ rudrasya bheṣajam | yeneṣum ekatejanāṃ śataśalyām apabruvan ||
19.10.5	jālāṣenābhi ṣiñcata jālāṣenopa siñcata | jālāṣaṃ bhadraṃ bheṣajaṃ tasya no dhatta jīvase ||
19.10.6	śaṃ ca no mayaś ca no mā ca naḥ kiṃ canāmamat | kṣamā rapo viśvaṃ no astu bheṣajam ||
19.10.7	yaśasaṃ mendro maghavān kṛṇotu yaśasaṃ somo varuṇo vāyur agniḥ | yaśasaṃ mā devaḥ savitā kṛṇotu priyo dātur dakṣiṇāyāḥ syām aham ||
19.10.8	yathendro dyāvāpṛthivyor yaśasvān yathāpa oṣadhīṣu | yathā viśveṣu deveṣv evā deveṣu yaśasaḥ syāma ||
19.10.9	accha vayam indraṃ yaśasaṃ yaśobhir yaśasvino haviṣainā vidhema | sa no dadhad rāṣṭram indrajūtaṃ tasya trātre adhivāke syāma ||
19.10.10	eha yātu varuṇaḥ somo agnir bṛhaspatir vasubhir eha yātu | asya śriyam abhisaṃyāta sarva ugrasya cettuḥ saṃmanasaḥ sajātāḥ ||
19.10.11	eha yāta māpa yātādhy asmat pūṣā vaḥ parastād apathaṃ kṛṇotu | vāstoṣpatir anu vo 'yam ahvan mayi sajātā ramatir vo astu ||
19.10.12	yo vaḥ śuṣmo hṛdayeṣv antar yā ākūtir manasi praviṣṭā | tāñ chrevayāmi haviṣā ghṛtena mayi sajātā ramatir vo astu ||
19.10.13	mama cittaṃ prayavasanyutetve- -indrāgnyor iva havam eta sarve | bṛhaspatir vo ni yunaktu mahyaṃ mama vācam ekacittāḥ sacadhvam ||
19.10.14	ahaṃ gṛhṇāmi manasā manāṃsi mama cittam upa cittebhir eta | mama vaśe hṛdayaṃ vaḥ kṛṇomi mama yātam anuvartmāna eta ||
19.10.15	māṃ vaś cakṣur gacchatu māṃ prāṇo dhātā padam anu vartma vaḥ kṛṇotu | ye vo mahānta uta ye kumārā mama yātam anu yātebhir eta ||
19.11.2	devebhyo adhi jāto 'si somasya sakhā hitaḥ | sa prāṇāyāpānāya cakṣuse 'sya mṛḍa ||
19.11.3	ayasmaye drupade bedhiṣa id abhihito mṛtyubhir ye sahasram | yamo mahyaṃ punar it tvāṃ dadātu tasmai devāya haviṣā vidhema ||
19.11.4	yat te devī nirṛtir ābabandha dāma grīvāsv avicṛtyam | tat te vi ṣyāmy āyuṣe balāya- -anamīvaṃ pitum addhi prasūtaḥ ||
19.11.5	namo 'stu te nirṛte viśvavāre ayasmayaṃ vi cṛtā bandham etam | yamena tvaṃ pitṛbhiḥ saṃvidāna- -uttame nāke adhi rohayemam ||
19.11.6	antardāvāya juhutā sv etad yātudhānakṣayaṇaṃ ghṛtena | ārād rakṣāṃsi prati dahāgne māsmākaṃ tanvam upa tītapanta ||
19.11.7	śarvo vo grīvā aśarīt piśācāḥ pṛṣṭīr vo 'pi śṛṇātv agniḥ | vīrud vo viśvadhāvīryā mṛtyunā sam ajīgamat ||
19.11.8	apiśācaṃ no adharād apiśācaṃ na uttarāt | indrāpiśācaṃ naḥ paścād apiśācaṃ puras kṛdhi ||
19.11.9	indraś cakāra prathamo nairhastam asurebhyaḥ | vṛścāmaḥ śatrūṇāṃ bāhū anena haviṣā vayam ||
19.11.10	nirhastaḥ śatrur abhidāsan no astu ye senābhir yudham āyanty asmān | sam arpayendra mahatā vadhena drātv eṣām aghahāro vividdhaḥ ||
19.11.11	ava manyur avāyatā- -ava bāhū manoyujā | parāśara tvaṃ teṣāṃ parāñcaṃ śuṣmam ardayārvācīṃ rayim ā kṛdhi ||
19.11.12	ātanvānā āyacchanto 'syanto ye ca dhāvatha | nirhastāḥ śatrava sthana- -indro vo 'dya parāśarīt ||
19.11.13	nirhastāḥ santu śatravo 'ṅgaiṣāṃ mlāpayāmasi | yathaiṣām indra vedāṃsi yūtheṣu vi bhajāmahai ||
19.11.14	nirhastebhyo nairhastaṃ yaṃ devāḥ śarum asyatha | jayantu satvāno mama sthireṇendreṇa medinā ||
19.12.1	śamīm aśvattha ārūḍhas tatra puṃsavanaṃ kṛtam | tad eva tasya bheṣajaṃ yat strīṣv ā haranti tat ||
19.12.2	puṃsi vai reto bhavati tat striyām anu ṣicyate | tad vai putrasya vedanaṃ tat prajāpatir abravīt ||
19.12.3	prajāpatir anv amaṃsta sinīvāly acīkl̥pat | straiṣūyam anyatra dadhat pumāṃsam u dadhad iha ||
19.12.4	yā oṣadhayaḥ somarājñīr ity ekā
19.12.5	muñcantu mā śapathyād atho varuṇyād uta | atho yamasya paḍbīśād viśvasmād devaduṣkṛtāt ||
19.12.6	yac cakṣuṣā yan manasā yac ca vācopārima yaj jāgrato yat svapantaḥ | somo mā tasmād enasaḥ svadhayā punātu vidvān ||
19.12.7	abhibhūr yajño abhibhūr agnir astv abhibhūḥ somo abhibhūr indro astu | abhy ayaṃ viśvāḥ pṛtanā yathāsad evā vidhemāgnihotrā idaṃ haviḥ ||
19.12.8	svadhāstu mitrāvaruṇā prajāvat kṣatraṃ madhveha pinvatam | bādhethāṃ dveṣo nirṛtiṃ parācair asmai kṣatraṃ varca ā dhattam ojaḥ ||
19.12.9	imaṃ vīram ity ekā ||
19.12.10	agner iva prasitir asya śuṣmiṇa uteva matto vilapann apāyati | tasmai te aruṇāya babhrave tapurmaghāya namo 'stu takmane ||
19.12.11	namo yamāya namo 'stu mṛtyave namo rājñe varuṇāya tviṣīmate | namaḥ kṣetrasya pataye namo dive namaḥ pṛthivyai nama oṣadhībhyaḥ ||
19.12.12	ayaṃ yo janān haritān kṛṇoty ucchocayann agninevābhidunvan | adhā hi takmann araso hi bhūyā athā nyaṅ adharaṅ vā parehi ||
19.12.13	indro jayāti na parā jayātā adhirājo rājasu rājayātai | carkṛtya īḍyaḥ śaṃsyaś ca- -upasadyo namasyo bhaveha ||
19.12.14	tvam indrādhirājaḥ śravasyus tvaṃ bhavābhibhūtir janānām | tvaṃ daivīr viśa imā vi rāja- -āyuṣmat kṣatram ajaraṃ te astu ||
19.12.15	prācyāṃ diśi tvam indrādhirājā- -odīcyāṃ diśi vṛtrahan dasyuhāsi | yatra yanti śrotyās taj jitaṃ te dakṣiṇato vṛṣabho 'si havyaḥ ||
19.13.1	abhi tvendro varimataḥ purā tvāṃhūraṇebhyaḥ | hvayāmy ugraṃ cettaraṃ puruṇāmānam ekajam ||
19.13.2	yo adya senyo vadho jighāṃsan na udīrate | indrasya tatra bāhū samantaṃ pari dadhmahe ||
19.13.3	pari dadhma indrasya bāhū samantaṃ trātus trāyatāṃ naḥ | deva savitaḥ soma rājan sumanasaṃ mā kṛṇutaṃ svastaye ||
19.13.4	devā aduḥ sūryo adād dyaur adāt pṛthivy adāt | sarvāḥ sarasvatīr aduḥ sacittā viṣadūṣaṇam ||
19.13.5	yad vo devā upajīkā āsiñcan dhanvany udakam | tena devaprasūtā idaṃ dūṣayatā viṣam ||
19.13.6	asurāṇām asi duhitā devānām asi svasā | divas pṛthivyā jajñiṣe sā cakarthārasaṃ viṣam ||
19.13.7	asthisraṃsaṃ parusraṃsam āsthitaṃ hṛdayāmayam | balāsaṃ sarvaṃ niṣ kṛdhy aṅgeṣṭhā yaś ca parvasu ||
19.13.8	nir balāsaṃ balāsinaḥ kṣiṇomi puṣkaraṃ yathā | chinadmy asya bandhanaṃ mūlam urvārvo yathā ||
19.13.9	nir balāsetaḥ pra pata suparṇo vasater iva | adheṭa iva hāyano 'pa drāhy avīrahā ||
19.13.10	ā vṛṣāyasva śvasihi vardhasva prathayasva ca | yathāṅgaṃ vardhatāṃ te śepas tena yoṣitam uj jahi ||
19.13.11	yenā kṛśaṃ medayanti yena hinvanty āturam | tenāsya brahmaṇaspate dhanur ivā tānayā pasaḥ ||
19.13.12	āhaṃ tanomi te paso adhi jyām iva dhanvani | kramasva riśya iva rohitam anavaglāyatā tvam ||
19.13.13	devāḥ kapota iṣito yad icchan dūto nirṛtyā idam ājagāma | tasmā arcāma kṛṇavāma niṣkṛtiṃ śaṃ no astu dvipade catuṣpade ||
